Time (s),Speed (km/h),X,Y,Z,Distance to Car 1 (m),Distance to Car 2 (m)
0.24175429344177246,6.6712147235870365,99.5,-25.0,0.3171647787094116,14.000004887835532,20.00003970413858
0.30706787109375,8.860065937042236,99.5,-25.0,0.18133074045181274,14.000008621410334,20.000071452354064
0.3681063652038574,7.655665900590458,99.5,-25.000688552856445,0.011208610609173775,14.000726140395088,20.00076989761088
0.429168701171875,2.125104836236719,99.5,-25.00172233581543,-0.05981912463903427,14.001722664241495,20.001745362025652
0.4910850524902344,0.030585160360384195,99.5,-25.001970291137695,-0.07275407761335373,14.002035602843703,20.00197835914786
0.5541174411773682,0.6517121711044359,99.5,-25.00197410583496,-0.0655667707324028,14.002149050345475,20.001978831854498
0.6157300472259521,0.7119466375850774,99.5,-25.00192642211914,-0.05282127112150192,14.002133477305454,20.001930658896313
0.6771845817565918,0.5755415019434857,99.5,-25.00188446044922,-0.041460130363702774,14.002027115251598,20.00188927406983
0.7379865646362305,0.41712612565502466,99.5,-25.001850128173828,-0.033225174993276596,14.001910201208124,20.001855862043566
0.7999229431152344,0.29106074982844143,99.5,-25.0018310546875,-0.02767360582947731,14.001842634921434,20.001837725339065
0.863013744354248,0.1887550060607579,99.5,-25.001813888549805,-0.02361244149506092,14.001817707205413,20.001821486117255
0.9234156608581543,0.12862765293789905,99.5,-25.00180435180664,-0.021359862759709358,14.001823015861248,20.00181258554428
0.985872745513916,0.072643956155308,99.5,-25.00179672241211,-0.019439201802015305,14.001843371682785,20.001805599689778
1.0488436222076416,0.03699990729395928,99.5,-25.00179100036621,-0.01853467896580696,14.001850787247678,20.001800281271105
1.1117122173309326,0.027991850308481003,99.5,-25.001789093017578,-0.017888564616441727,14.001848999080241,20.001798632635918
1.1737236976623535,0.01983426912885387,99.5,-25.001787185668945,-0.017543621361255646,14.001838246161988,20.001796896231635
1.2352092266082764,0.009699069144432693,99.5,-25.001787185668945,-0.017313804477453232,14.001825895050485,20.001797012931718
1.2968308925628662,0.006078675219311885,99.5,-25.001787185668945,-0.01719720847904682,14.001815121400348,20.001797085033175
1.3590285778045654,0.004475630351422948,99.5,-25.00178337097168,-0.01713956706225872,14.001804163064985,20.001793311079034
1.4210026264190674,0.0042458575358424264,99.5,-25.00178337097168,-0.017098788172006607,14.001796600207712,20.00179334528344
1.483243465423584,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001793592075817,20.001793338601374
1.545748233795166,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001791981587315,20.001793338601374
1.6078736782073975,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001791540467513,20.001793338601374
1.6688573360443115,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001791821114418,20.001793338601374
1.731126070022583,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001792559476778,20.001793338601374
1.7941365242004395,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001793515108192,20.001793338601374
1.8560481071472168,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001794465408508,20.001793338601374
1.9182302951812744,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001795349526,20.001793338601374
1.9797885417938232,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001795922207751,20.001793338601374
2.0420517921447754,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796314173268,20.001793338601374
2.104950428009033,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796484913461,20.001793338601374
2.166893482208252,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796476665564,20.001793338601374
2.2281928062438965,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.2908875942230225,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.353024959564209,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.4151926040649414,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.477635383605957,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.539013147354126,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.6010148525238037,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.662903070449829,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.724975347518921,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.7867977619171143,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.849123477935791,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.911210298538208,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
2.973856210708618,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.03684663772583,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.0982730388641357,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.160121440887451,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.2218644618988037,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.2838821411132812,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.3468525409698486,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.409261465072632,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.472383975982666,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.535029888153076,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.5971014499664307,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.6580355167388916,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.719312906265259,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.780912160873413,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.8413214683532715,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.9033100605010986,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
3.9659523963928223,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.027883291244507,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.08923077583313,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.150909900665283,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.214339971542358,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.277375221252441,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.340087413787842,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.4029319286346436,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.464732646942139,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.528186798095703,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.590359210968018,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.653119325637817,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.714317560195923,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.775664806365967,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.83755898475647,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.8991663455963135,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
4.962115526199341,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.024263143539429,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.0865020751953125,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.149367570877075,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.210988521575928,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.273163795471191,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.33536958694458,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.398088216781616,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.460299730300903,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.523145914077759,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.584993839263916,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.647137403488159,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.709190845489502,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.771295785903931,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.834014892578125,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.896025896072388,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
5.959213972091675,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.02234148979187,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.083421468734741,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.1451897621154785,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.2063446044921875,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.268032550811768,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.330085039138794,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.3916778564453125,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.45359468460083,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.515028476715088,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.577521562576294,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.638460874557495,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.701056003570557,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.761960744857788,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.82374119758606,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.8860883712768555,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
6.947230815887451,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.009317398071289,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.071334600448608,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.134161472320557,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.197129011154175,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.258341550827026,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.321091890335083,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.38312029838562,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.445417881011963,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.5082550048828125,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.569111108779907,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.632083415985107,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.693451881408691,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.755460262298584,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.8172125816345215,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.879266738891602,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.942531108856201,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
7.988644361495972,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.050316333770752,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.113617420196533,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.175278663635254,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.238481044769287,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.302263975143433,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.363441705703735,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.424602746963501,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.486170768737793,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.54828667640686,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.610464811325073,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.672523736953735,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.734720706939697,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.796695947647095,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.860332012176514,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
8.92257571220398,0.0,99.5,-25.00178337097168,-0.017091751098632812,14.001796449956345,20.001793338601374
